aah	ah
marionette	marionet
mark	mark
marker	marker
market	market
marketeer	marketér
marketer	marketer
marketmaker	marketmaʸker
marking	markiŋ
marksman	marksman
marl	marl
marmoset	marmoset
marmot	marmot
maronite	maronít
maroon	marq̇n
marquee	marké
marriage	maraj
marrow	maró
marry	maré
marsh	marx
marshal	marxal
marshall	marxal
marshland	marxland
marshmallow	marxmaló
marsupial	masúpial
mart	mart
marten	marten
martian	marsian
martin	marin
martini	marténé
martyr	martir
marvel	marvel
marxist	marksist
mascot	maskot
masculinity	maskúlinité
maser	mázer
mash	max
mask	mask
mason	máson
masque	mask
masquerade	maskerád
mass	mas
massacre	masaker
massage	masaj
mast	mast
master	master
masterclass	masterklas
mastermind	mastermiʸnd
masterpiece	masterpeʸs
masterwork	masterwurk
masticate	mastikát
mastiff	mastif
masturbate	masturbát
mat	mat
match	mac
matchbox	macboks
matchfact	macfakt
matching	maciŋ
matchmake	macmaʸk
matchstick	macstik
mate	maʸt
material	matérial
materialise	matérialíz
materialist	matérialist
materialize	matérialíz
mathematician	maþematisian
mathew	maþú
matinee	matinaʸ
mating	maʸtiŋ
matriculate	matrikúlát
matrix	mátriks
matron	mátron
matte	mat
matter	mater
mattress	matres
mature	matúr
maturity	matúrité
maul	mål
mauritanian	måritánian
mausoleum	måzoléum
maverick	maverik
maxim	maksim
maximise	maksimíz
maximize	maksimíz
maximum	maksimum
may	maʸ
mayfly	maʸfliʸ
mayor	maʸor
maze	maʸz
meadow	medó
meadowland	medóland
meal	meʸl
mealtime	meʸltiʸm
mean	meʸn
meander	méander
meandering	méanderiŋ
meaning	meʸniŋ
measure	mezúr
measurement	mezúrment
meat	meʸt
meatball	meʸtbål
meaty	meʸté
mechanic	mekanik
mechanical	mekanikal
mechanism	mekanizem
mechanize	mekaníz
medal	medal
medallion	medalion
medallist	medalist
meddle	medel
meddler	medeler
mede	meʸd
median	médian
mediate	médiát
mediator	médiátor
medic	medik
medical	medikal
medicate	medikát
medication	medikásion
medicine	medisin
meditate	meditát
meditation	meditásion
medium	médium
meet	meʸt
meeting	meʸtiŋ
megabyte	megabít
megalith	megaliþ
megaton	megatun
megawatt	megawot
melanesian	melanézian
melanoma	melanóma
meld	meld
mellow	meló
melodrama	melodrama
melody	melodé
melon	melon
melt	melt
member	member
membership	meberxip
membrane	membrán
meme	meʸm
memento	mementó
memo	memó
memoir	memwar
memorandum	memorandum
memorial	memórial
memorise	memoríz
memorize	memoríz
memory	memoré
men	men
menace	menas
mend	mend
mense	mens
menshevik	menxevik
menstruate	menstrúát
mentality	mentalité
mention	mension
mentor	mentor
menu	menú
meow	méqʷ
mercenary	mersenaré
mercer	merser
merchandiser	mercandízer
merchant	mercant
merchantman	mercantman
mercy	mersé
mere	meʸr
merge	merj
merger	merjer
meridian	meridian
meringue	meraŋ
merit	merit
mermaid	mermaʸd
merry	meré
mesh	mex
mesmerise	mezmeríz
mesmerize	mezmeríz
mess	mes
message	mesaj
messenger	mesenjer
messiah	mesíah
messy	mesé
met	met
metabolise	metabolíz
metabolite	metabolít
metabolize	metabolíz
metal	metal
metalworker	metalwurker
metamorphose	metamorfóz
metaphor	metafor
metaphysic	metafizik
metazoan	metazóan
mete	meʸt
meteor	météor
meteorite	météorít
meteorologist	météorolojist
meter	méter
meth	meþ
method	meþod
methodist	meþodist
methodology	meþodolojé
metre	méter
metric	metrik
metro	metró
mew	muʷ
mexican	meksikan
mic	miʸk
micro	míkró
microbe	míkrób
microbiologist	míkróbíolojist
microchip	míkrócip
microcomputer	míkrókompúter
microcontroller	míkrókontróler
microeconomic	míkróekonomik
microfilm	míkrófilm
microgram	míkrógram
microgramme	míkrógram
micrograph	míkrógraf
microlight	míkróliʸt
micrometre	míkrometer
micron	míkron
microorganism	míkróorganizem
microphone	míkrofón
microprocessor	míkroprósesor
microprogram	míkroprógram
microscope	míkroskóp
microsecond	míkrósekond
microsystem	míkrósistem
microtubule	míkrótúbúl
microwave	míkrówaʸv
middle	midel
middleman	midelman
midfielder	midfeʸlder
midge	mij
midget	mijet
midland	midland
midlander	midlander
midrip	midrip
midship	midxip
midshipman	midxipman
midwif	midwiʸf
miff	mif
mighty	miʸté
migraine	mígrán
migrant	mígrant
migrate	mígrát
migration	mígrásion
mike	miʸk
mil	mil
mild	miʸld
mildew	mildú
mile	miʸl
mileage	miʸlaj
milestone	miʸlstoʷn
militant	militant
militate	militát
militia	milisia
militiaman	milisiaman
milk	milk
milker	milker
milkmaid	milkmaʸd
milkman	milkman
mill	mil
miller	miler
millet	milet
milligram	miligram
millilitre	mililéter
millimetre	miliméter
milliner	miliner
millionaire	milionár
millionth	milionþ
millipede	milipéd
millisecond	milisekond
millivolt	milivólt
millstone	milstoʷn
millwright	milriʸt
mime	miʸm
mimic	mimik
mimick	mimik
min	min
minaret	minaret
mince	mins
mind	miʸnd
minder	miʸnder
mine	miʸn
minefield	miʸnfeʸld
miner	miʸner
mineral	mineral
mineralise	mineralíz
mineralize	mineralíz
minesweeper	miʸnsweʸper
mineworker	miʸnwurker
mingle	miŋgel
mini	miné
miniature	minéatúr
minicomputer	minékompúter
minimise	minimíz
minimize	minimíz
minimum	minimum
minion	minion
minister	minister
ministration	ministrásion
ministry	ministré
minnow	minó
minoan	minóan
minor	mínor
minority	mínorité
minster	minster
minstrel	minstrel
mint	mint
minuet	minúet
minus	mínus
minute	minut
minutia	minúsia
mira	mira
miracle	mirakel
mirage	mirazj
mire	miʸr
mirror	miror
misadventure	misadventúr
misalign	misalín
misapply	misaplí
misapprehension	misaprehension
misappropriate	misapropriát
misbehave	misbehaʸv
miscalculate	miskalkúlát
miscalculation	miskalkúlásion
miscarriage	miskaraj
miscarry	miskaré
miscellany	miseláné
misconceive	miskonsév
misconception	miskonsepsion
misconstrue	miskonstrú
miscreant	miskréant
miscue	miskú
misdeed	misdeʸd
misdemeanour	misdeménor
misdescribe	misdeskríb
misdescription	misdeskripsion
misdiagnose	misdíagnóz
misdirect	misdirekt
misery	mizeré
misfire	misfiʸr
misfit	misfit
misfortune	misfortún
misgiving	misgiviŋ
mishandle	mishandel
mishap	mishap
misinform	misinform
misinterpret	misinterpret
misinterpretation	misinterpretásion
misjudge	misjuj
misjudgement	misjujment
mislay	mislaʸ
mislead	misleʸd
mismanage	mismanaj
mismatch	mismac
misname	misnaʸm
misplace	misplaʸs
misprice	mispriʸs
mispricing	mispriʸsiŋ
misprint	misprint
misquote	miskwoʷt
misread	misreʸd
misread	misred
misrepresent	misreprezent
misrepresentation	misreprezentásion
miss	mis
missile	misil
mission	mision
missionary	misionaré
missioner	misioner
missive	misiv
misspell	misspel
misspelling	misspeliŋ
mist	mist
mistake	mistaʸk
mistime	mistiʸm
mistreat	mistreʸt
mistress	mistres
mistrust	mistrust
misunderstand	misunderstand
misunderstanding	misunderstandiŋ
misuse	misuʷz
misuse	misuʷs
misuser	misuʷzer
mite	miʸt
mitigate	mitigát
mitt	mit
mitten	miten
mix	miks
mixer	mikser
mixture	mikstúr
mnemonic	nemonik
mo	moʷ
moan	moʷn
moat	moʷt
mob	mob
mobile	móbil
mobilise	móbilíz
mobilize	móbilíz
mobster	mobster
moccasin	mokasin
mock	mok
mod	mod
modal	módal
modality	modalité
mode	moʷd
model	model
modeller	modeler
modem	módem
moderate	moderat
moderate	moderát
moderation	moderásion
moderator	moderátor
modern	modern
modernise	moderníz
modernist	modernist
modernize	moderníz
modernizer	modernízer
modification	modifikásion
modifier	modifíer
modify	modifí
modulate	modúlát
modulation	modúlásion
module	modúl
mogul	mógul
mohawk	móhåk
mohican	móhékan
moisten	moʸsen
moisturiser	moʸstúrízer
moisturizer	moʸstúrízer
molar	mólar
moldavian	móldávian
molding	moʷldiŋ
mole	moʷl
molecule	molekúl
molehill	moʷlhil
molest	molest
molester	molester
mollify	molifí
mollusc	molusk
mollycoddle	molékudel
molt	moʷlt
moment	móment
monad	mónad
monarch	monark
monarchist	monarkist
monarchy	monarké
monastery	monasteré
monday	mundaʸ
monetarist	monetarist
money	muné
moneybag	munébag
moneyer	munéer
moneylender	munélender
moneyman	munéman
mongol	moŋgol
mongoose	moŋgq̇s
mongrel	moŋgrel
monitor	monitor
monk	muŋk
monkee	muŋké
monkey	muŋké
monograph	monograf
monolith	monoliþ
monologue	monolog
monomer	monomer
monopole	monopól
monopolise	monopolíz
monopolist	monopolist
monopolize	monopolíz
monopoly	monopolé
monosyllable	monosilabel
monotone	monotón
monotype	monotíp
monsoon	monsq̇n
monster	monster
monstrosity	monstrosité
montage	montazj
montenegrin	montenegrin
month	munþ
monthly	munþlé
monument	monúment
mony	moné
mooch	mq̇c
mood	mq̇d
moon	mq̇n
moonbeam	mq̇nbeʸm
moonlight	mq̇nliʸt
moony	mq̇né
moor	mq̇r
mooring	mq̇riŋ
moorland	mq̇rland
moot	mq̇t
mop	mop
mope	moʷp
moped	mómed
moral	moral
morale	moral
moralise	moralíz
moralist	moralist
morality	moralité
moralize	moralíz
more	moʷr
mormon	mormon
morning	morniŋ
moroccan	morokan
moron	móron
morph	morf
morpheme	morfém
morphology	morfolojé
morsel	morsel
mortal	mortal
mortality	mortalité
mortar	mortar
mortgage	morgaj
mortgagee	morgajé
mortify	mortifí
mosaic	mózáik
mosaicist	mózáisist
moslem	mozlem
mosque	mosk
mosquito	moskétó
mosquitoe	moskétó
moss	mos
mote	moʷt
motel	mótel
moth	moþ
mothball	moþbål
mother	muðer
motherboard	muðerboʷrd
motif	mótéf
motion	mósion
motivate	mótivát
motivation	mótivásion
motive	mótiv
motor	mótor
motorbike	mótorbiʸk
motorboat	mótorboʷt
motorcar	mótorkar
motorcycle	mótorsíkel
motorcyclist	mótorsíkelist
motorist	mótorist
motorize	mótoríz
motorway	mótorwaʸ
motto	motó
mould	moʷld
moulder	mólder
moulding	moʷldiŋ
moult	moʷlt
mound	mqʷnd
mount	mqʷnt
mountain	mq́ntan
mountaineer	mq́ntanér
mountainside	mq́ntansiʸd
mounting	mqʷntiŋ
mourn	moʷrn
mourner	moʷrner
mouse	mqʷs
mousse	mq̇s
moustache	mustax
mouth	mqʷþ
mouthful	mqʷþfql
mouthpart	mqʷþpart
mouthpiece	mqʷþpeʸs
mouthwater	mqʷþʷåter
movable	mq̇vabel
move	mq̇v
moveable	mq̇vabel
movement	mq̇vment
mover	mq̇ver
movie	mq̇vé
mow	moʷ
mower	moʷer
muck	muk
mucosa	múkósa
mud	mud
muddle	mudel
muddletonian	mudeltónian
muddy	mudé
mudflat	mudflat
mudguard	mudgard
mudstone	mudstoʷn
muff	muf
muffin	mufin
muffle	mufel
mug	mug
mugger	muger
mugging	mugiŋ
mulberry	mulberé
mulch	mulc
mule	muʷl
mull	mul
mullah	mula
multiculturalist	multikultúralist
multinational	multinasional
multiple	multipel
multiplication	multiplikásion
multiplier	multiplíer
multiply	multiplí
multiprocess	multipróses
multiprocessor	multipróseser
multitask	multitask
multithread	multiþred
multitude	multitúd
mum	mum
mumble	mumbel
mummer	mumer
mummy	mumé
munch	munc
municipality	múnisipalité
munition	múnision
muppet	mupet
mural	múral
murder	murder
murderer	murderer
murmur	murmur
murmuring	murmuriŋ
muscle	musel
muscovite	mukovít
muse	muʷz
museum	múzéum
mushroom	muxrq̇m
music	múzik
musical	múzikal
musician	múzisian
musing	muʷziŋ
musket	musket
musketeer	musketér
muslim	muzlim
mussel	musel
must	must
mustang	mustaŋ
mustard	mustard
muster	muster
mutagen	mútajen
mutant	mútant
mutate	mútát
mutation	mútásion
mute	muʷt
mutilate	mútilát
mutilation	mútilásion
mutineer	mútinér
mutiny	mútiné
mutter	muter
muttering	muteriŋ
muzzle	muzel
mycotoxin	míkotoksin
myriad	miriad
mystery	misteré
mystic	mistik
mystify	mistifí
myth	miþ
mythology	miþolojé
nab	nab
nag	nag
nail	naʸl
name	naʸm
nameplate	naʸmplaʸt
namesake	naʸmsaʸk
namibian	namibian
nan	nan
nana	nana
nanny	nané
nanometer	nanóméter
nanometre	nanóméter
nanosecond	nanósekond
nap	nap
nape	naʸp
napkin	napkin
nappy	napé
narcotic	narkotik
nark	nark
narrate	narát
narrative	narativ
narrator	narátor
narrow	naró
narwhal	narhʷal
nasal	názal
nasty	nasté
nat	nat
nation	násion
national	national
nationalise	nationalíz
nationalism	nationalizem
nationalist	nationalist
nationality	nationalité
nationalization	nationalizásion
nationalize	nationalíz
native	nátiv
natter	nater
natural	natúral
naturalise	natúralíz
naturalist	natúralist
naturalize	natúralíz
nature	nátúr
naturist	nátúrist
naughty	nåté
nauseate	nåzéát
nautiloid	nåtiloʸd
nave	naʸv
navigate	navigát
navigation	navigásion
navigator	navigátor
navy	návé
nazi	natsé
near	neʸr
neat	neʸt
nebula	nebúla
necessary	nesesaré
necessitate	nesesitát
necessity	nesesité
neck	nek
necklace	neklas
neckline	nekliʸn
necromancer	nekromanser
nectarine	nektarén
need	neʸd
needle	nédel
negate	negát
negative	negativ
neglect	neglekt
negotiate	negósiát
negotiation	negósiásion
negotiator	negósiátor
negro	négró
negroe	négró
neigh	naʸ
neighbor	naʸbor
neighborhood	naʸborhqd
neighbour	naʸbor
neighbourhood	naʸborhqd
nematode	nematód
neologism	néolojizem
neon	néon
neonate	néonát
neophyte	néofít
neoplasm	néoplazem
nephew	nefú
nerve	nerv
nest	nest
nestle	nesel
nestling	neseliŋ
net	net
nettle	netel
network	netwurk
neurologist	núrolojist
neuron	núron
neurophysiologist	núrofizéolojist
neuroscientist	núrosíentist
neurosis	núrósis
neurotic	núrotik
neurotransmitter	núrótranzmiter
neuter	núter
neutral	nútral
neutralise	nútralíz
neutralize	nútralíz
neutrino	nútrénó
neutron	nútron
new	nuʷ
newborn	nuʷboʷrn
newcomer	nuʷkumer
newlywed	nuʷléʷed
newsagent	nuʷzájent
newscaster	nuʷzkaster
newsletter	nuʷzleter
newsman	nuʷzman
newspaper	nuʷzpáper
newsreader	nuʷzreʸder
newsreel	nuʷzreʸl
newsstand	nuʷzstand
newt	nuʷt
nib	nib
nibble	nibel
nicaraguan	nikaragwan
nice	niʸs
nicety	niʸseté
niche	nic
nick	nik
nickname	niknaʸm
niece	neʸs
nigerian	níjérian
nigger	niger
niggle	nigel
night	niʸt
nightclothes	niʸtkloʷðz
nightclub	niʸtklub
nightdress	niʸtdres
nightgown	niʸtgqʷn
nightie	niʸté
nightingale	niʸtingál
nightjar	niʸtjar
nightmare	niʸtmaʸr
nightshirt	niʸtxirt
nightspot	niʸtspot
nip	nip
nipper	niper
nipple	nipel
nit	nit
nitrate	nítrát
nitrite	nítrít
no	noʷ
nob	nob
nobble	nobel
noble	nóbel
nobleman	nóbelman
nobody	noʷbodé
nock	nok
nod	nod
node	noʷd
nodule	nodúl
noe	noʷ
noir	nwar
noise	noʸz
noisy	noʸzé
nomad	nómad
nome	noʷm
nominate	nominát
nomination	nominásion
nominee	nominé
nonconformist	nonkonformist
nonentity	nonentité
nonjuror	nonjúror
nonsmoker	nonsmoʷker
nonword	nonwurd
noodle	nq̇del
nook	nqk
norm	norm
normal	normal
normalise	normalíz
normalize	normalíz
norman	norman
norseman	norsman
northerner	norðerner
northumbrian	norþumbrian
norwegian	norʷéjian
nose	noʷz
nosebleed	noʷzbleʸd
nostril	nostril
not	not
notable	nótabel
notary	nótaré
notate	nótát
notation	nótásion
notch	noc
note	noʷt
notebook	noʷtbqk
nothing	noþiŋ
notice	nótis
noticeboard	nótisboʷrd
notification	nótifikásion
notify	nótifí
notion	nósion
nought	nåt
noun	nqʷn
nourish	nurix
novel	novel
novelist	novelist
novelty	novelté
novice	novis
nozzle	nozel
nuance	núans
nucleotide	núkléotíd
nucleus	núkléus
nude	nuʷd
nudge	nuj
nugget	nuget
nuisance	núsans
nuke	nuʷk
nullify	nulifí
numb	num
number	number
numeral	númeral
numeric	númerik
nun	nun
nunnery	nuneré
nuptial	nupsial
nurse	nurs
nursemaid	nursmaʸd
nursery	nurseré
nurseryman	nurseréman
nurture	nurtúr
nut	nut
nutrient	nútrient
nutritionist	nútrisionist
nutter	nuter
nuzzle	nuzel
nylon	nílon
nymph	nimf
oak	oʷk
oar	oʷr
oarsman	oʷrzman
oasis	óásis
oatcake	oʷtkaʸk
oath	oʷþ
obelisk	obelisk
obey	óbaʸ
obituary	obitúaré
object	objekt
objectify	objektifí
objection	objeksion
objective	objektiv
objector	objektor
obligate	obligát
obligation	obligásion
oblige	oblíj
obliterate	obliterát
oboe	óbó
obscenity	obsenité
obscure	obskúr
obscurity	obskúrité
observable	obzervabel
observance	obzervans
observation	obzervásion
observatory	obzervatoré
observe	obzerv
observer	obzerver
obsess	obses
obsession	obsesion
obsessive	obsesiv
obstacle	obstakel
obstetrician	obstetrisian
obstruct	obstrukt
obstruction	obstruksion
obtain	obtán
obtrude	obtrúd
obviate	obviát
occasion	okázion
occlude	oklúd
occultist	okultist
occupant	okúpant
occupation	okúpásion
occupier	okúpíer
occupy	okúpí
occur	okur
occurrence	okurens
ocean	ósian
oceanographer	ósianografer
ochre	óker
octave	oktav
octogenarian	oktojenarian
octopus	oktopqs
oddball	odbål
oddity	odité
oddment	odment
ode	oʷd
odometer	ódometer
odor	ódor
odour	ódor
oestrogen	estrojen
off	of
offcut	ofkut
offence	ofens
offend	ofend
offender	ofender
offense	ofens
offensive	ofensiv
offer	ofer
offering	oferiŋ
offeror	oferor
office	ofis
officer	ofiser
official	ofisial
officiate	ofisiát
offline	ofliʸn
offload	ofloʷd
offset	ofset
offshoot	ofxuʷt
ogle	ogel
ogre	óger
ohm	oʷm
oil	oʸl
oilfield	oʸlfeʸld
oilman	oʸlman
oilseed	oʸlseʸd
oilskin	oʸlskin
oily	oʸlé
ointment	oʸntment
ola	óla
old	oʷld
oldy	oʷldé
oleander	óléander
oligarch	oligark
oligarchy	oligarké
oligopoly	oligopolé
olive	oliv
olympian	olimpian
olympic	olimpik
ombudsman	ombudzman
omelette	omelet
omen	ómen
omission	omision
omit	ómit
omnibus	omnibus
omnivore	omnivór
on	on
oncogene	onkojén
one	wun
onion	union
onlooker	onlqker
onslaught	onslåt
onto	ontq̇
oodle	q̇del
ooh	q̇
ooze	q̇z
op	op
opal	ópal
open	ópen
opener	ópener
opening	ópeniŋ
opera	opera
operate	operát
operation	operásion
operationalize	operásionalíz
operative	operativ
operator	operátor
operetta	opereta
opiate	ópiat
opine	ópín
opinion	opinion
opinionate	opinionát
opioid	ópioʸd
opponent	opónent
opportunist	oportúnist
opportunity	oportúnité
oppose	opóz
opposite	opozit
opposition	opozision
oppress	opres
oppression	opresion
oppressor	opresor
opt	opt
optician	optisian
optimise	optimíz
optimist	optimist
optimize	optimíz
option	opsion
optometrist	optometrist
or	or
oracle	orakel
orange	oranj
orangeman	oranjman
oration	orásion
orator	orator
orb	orb
orbit	orbit
orbital	orbital
orc	ork
orchard	orcard
orchestra	orkestra
orchestral	orkestral
orchestrate	orkestrát
orchestration	orkestrásion
orchid	orkid
ordain	ordán
ordainer	ordáner
ordeal	ordél
order	order
ordering	orderiŋ
orderly	orderlé
ordinance	ordinans
ordinand	ordinand
ordinary	ordinaré
ordination	ordinásion
ore	oʷr
orefield	oʷrfeʸld
orf	orf
organ	organ
organelle	organel
organic	organik
organisation	organizásion
organise	organíz
organiser	organízer
organism	organizem
organist	organist
organization	organizásion
organize	organíz
organizer	organízer
orgasm	orgazem
orgy	orjé
orient	órient
orientalise	orientalíz
orientate	orientát
orientation	orientásion
orifice	orifis
origin	orijin
original	orijinal
originate	orijinát
originator	orijinátor
ornament	ornament
ornithologist	orniþolojist
orphan	orfan
orphanage	orfanaj
orthodoxy	orþodoksé
orthopaedic	orþopédik
oscar	oskar
oscillate	osilát
oscillation	osilásion
oscillator	osilátor
osprey	ospré
ostracize	ostrasíz
ostrich	ostric
other	uðer
otter	oter
ottoman	otoman
ounce	qʷns
oust	qʷst
out	qʷt
outbreak	qʷtbraʸk
outbuilding	qʷtbildiŋ
outburst	qʷtburst
outcast	qʷtkast
outclass	qʷtklas
outcome	qʷtkum
outcrop	qʷtkrop
outcry	qʷtkriʸ
outdate	qʷtdaʸt
outfall	qʷtfål
outfit	qʷtfit
outfitter	qʷtfiter
outflank	qʷtflaŋk
outflow	qʷtfloʷ
outgas	qʷtgas
outgoing	qʷtgoʷiŋ
outgrow	qʷtgroʷ
outgrowth	qʷtgroʷþ
outgun	qʷtgun
outhouse	qʷthqʷs
outing	qʷtiŋ
outlast	qʷtlast
outlaw	qʷtlå
outlay	qʷtlaʸ
outlet	qʷtlet
outlie	qʷtliʸ
outlier	qʷtliʸer
outline	qʷtliʸn
outlive	qʷtliʸn
outlook	qʷtlqk
outnumber	qʷtnumber
outpace	qʷtspaʸs
outpatient	qʷtpásient
outperform	qʷtperform
outplay	qʷtplaʸ
outpoint	qʷtpoʸnt
outpost	qʷtpoʷst
outpouring	qʷtpoʷriŋ
output	qʷtpqt
outrage	qʷtraʸj
outrank	qʷtraŋk
outrider	qʷtriʸder
outrigger	qʷtriger
outrun	qʷtrun
outscore	qʷtskoʷr
outshine	qʷtxiʸn
outside	qʷtsiʸd
outsider	qʷtsiʸder
outsource	qʷtsoʷrs
outstation	qʷtstásion
outstay	qʷtstaʸ
outstrip	qʷtstrip
outvote	qʷtvoʷt
outweigh	qʷtwaʸ
outwit	qʷtwit
outworker	qʷtwurker
oval	óval
ovary	óvaré
ovation	óvásion
oven	uven
over	óver
overall	óverål
overarch	óverarc
overawe	óverå
overbalance	óverbalans
overbook	óverbqk
overburden	óverburden
overcharge	óvercarj
overcoat	óverkoʷt
overcome	óverkum
overcook	óverkqk
overcrowd	óverkrqʷd
overdetermine	óverdetermin
overdevelop	óverdevelop
overdo	óverdq̇
overdose	óverdoʷs
overdraft	óverdraft
overdress	óverdres
overdub	óverdub
overeat	óvereʸt
overemphasise	óveremfasíz
overemphasize	óveremfasíz
overestimate	óverestimát
overexpress	óverekspres
overfed	óverfed
overfeed	óverfeʸd
overfill	óverfil
overfish	óverfix
overflow	óverfloʷ
overfly	óverfliʸ
overfund	óverfund
overgrow	óvergroʷ
overhang	óverhaŋ
overhaul	óverhål
overhead	óverhed
overhear	óverheʸr
overheat	óverheʸt
overlap	óverlap
overlay	óverlaʸ
overlie	óverliʸ
overload	óverloʷd
overlook	óverlqk
overlord	óverlord
overly	óverlé
overman	óverman
overpay	óverpaʸ
overplay	óverplaʸ
overpower	óverpqʷr
overprice	óverpriʸs
overprint	óverprint
overrate	óverraʸt
overreach	óverreʸc
overreact	óverréakt
overrepresent	óverreprezent
override	óverriʸd
overrule	óverruʷl
overrun	óverrun
oversee	óverseʸ
overseer	óverseʸer
overshadow	óverxadó
overshoot	óverxuʷt
oversight	óversiʸt
oversimplify	óversimplifí
oversize	óversiʸz
overspend	óverspend
overstate	óverstaʸt
overstay	óverstaʸ
overstep	óverstep
overstock	óverstok
overstress	óverstres
overstretch	óverstrec
oversubscribe	óversubskríb
overtake	óvertaʸk
overtax	óvertaks
overthrow	óverþroʷ
overtire	óvertiʸr
overtone	óvertoʷn
overtrouser	óvertrqʷzer
overture	óvertúr
overturn	óverturn
overuse	óveruʷz
overvalue	óvervalú
overview	óvervuʷ
overwhelm	óverhwelm
overwinter	óverwinter
overwork	óverwurk
oviduct	óvidukt
ovulate	ovúlát
owe	oʷ
ower	oʷer
owl	qʷl
own	oʷn
owner	oʷner
ox	oks
oxidant	oksidant
oxide	oksíd
oxidise	oksídíz
oxidize	oksídíz
oxygen	oksijen
oyster	oʸster
oystercatcher	oʸsterkacer
pace	paʸs
pacemaker	paʸsmaʸker
paceman	paʸsman
pacer	paʸser
pacifist	pasifist
pacify	pasifí
pack	pak
package	pakaj
packer	paker
packet	paket
packing	pakiŋ
pact	pakt
pad	pad
paddle	padel
paddler	padeler
paddock	padok
paddy	padé
padlock	padlok
paediatric	pédiatrik
paediatrician	pédiatrisian
pagan	págan
page	paʸj
pageant	pajant
pager	paʸger
pail	paʸl
pain	paʸn
painkiller	paʸnkiler
paint	paʸnt
painter	paʸnter
painting	paʸntiŋ
pair	paʸr
pairing	paʸriŋ
pakistani	pakistané
pal	pal
palace	palas
palaeontologist	páléontolojist
palate	palat
pale	paʸl
paleontologist	páléontolojist
palestinian	palestinian
palette	palet
pall	pål
pallet	palet
palliative	paliativ
palm	palm
palpate	palpát
palpitation	palpitásion
pamper	pamper
pamphlet	pamflet
pamphleteer	pamfletér
pan	pan
panacea	panaséa
panamanian	panamánian
pancake	pankaʸk
panda	panda
pander	pander
pane	paʸn
panel	panel
panellist	panelist
pang	paŋ
panic	panik
panick	panik
pannier	panier
panny	pané
panorama	panorama
pansy	panzé
pant	pant
panther	panþer
pantomime	pantomím
pantry	pantré
panty	panté
papa	papa
paper	páper
paperback	páperbak
paperclip	páperklip
paperweight	páperwaʸt
papist	pápist
papyrus	papírus
par	par
para	para
parable	parabel
parachute	paraxút
parachutist	paraxútist
parade	parád
paradigm	paradím
paradise	paradís
paradox	paradoks
paraglide	paraglíd
paragon	paragon
paragraph	paragraf
parakeet	parakét
parallel	paralel
parallelism	paralelizem
paralyse	paralíz
paramedic	paramedik
parameter	parameter
paramilitary	paramilitaré
parapet	parapet
paraphrase	parafráz
paraprofessional	paraprofesional
parasite	parasít
parasol	parasol
paratroop	paratrq̇p
paratrooper	paratrq̇per
parc	park
parcel	parsel
parchment	parcment
pardon	pardon
pare	paʸr
parent	párent
parenthesis	parenþesis
pariah	paría
parish	parix
parishioner	parisioner
parisian	parizian
parity	parité
park	park
parka	parka
parkland	parkland
parliament	parlament
parliamentarian	parlamentárian
parlour	parlor
parody	parodé
paroxysm	paroksizem
parrot	parot
parry	paré
parse	pars
parser	parser
parsnip	parsnip
parson	parson
part	part
partake	partaʸk
participant	partisipant
participate	partisipát
participator	partisipátor
participle	partisipel
particle	partikel
particularity	partikúlarité
particulate	partikúlat
parting	partiŋ
partisan	partizan
partition	partision
partner	partner
partnership	partnerxip
partridge	partrij
party	parté
partygoer	partégoʷer
pass	pas
passage	pasaj
passageway	pasajwaʸ
passenger	pasenjer
passer	paser
passion	pasion
passive	pasiv
passport	pasport
password	paswurd
past	past
pasta	pasta
paste	paʸst
pastel	pastel
pasteurise	pastúríz
pasteurize	pastúríz
pastime	pastiʸm
pastor	pastor
pastoral	pastoral
pastoralist	pastoralist
pastry	pástré
pasture	pastúr
pasty	paʸsté
pasty	pasté
pat	pat
patch	pac
pate	paʸt
patent	patent
path	paþ
pathfinder	paþfiʸnder
pathogen	paþojen
pathologist	paþolojist
pathology	paþolojé
pathway	paþwaʸ
patient	pásient
patina	paténa
patio	patió
patriarch	pátriark
patrician	patrisian
patriot	pátriot
patrol	patról
patron	pátron
patronise	pátroníz
patronize	pátroníz
patter	pater
pattern	patern
patty	paté
pauper	påper
pause	påz
pave	paʸv
pavement	paʸvment
paver	paʸver
pavilion	pavilion
paving	paʸviŋ
paw	på
pawn	pån
pawnbroker	pånbróker
pawnshop	pånxop
pay	paʸ
payer	paʸer
payload	paʸloʷd
paymaster	paʸmaster
payment	paʸment
payoff	paʸof
payout	paʸqʷt
payphone	paʸfoʷn
payroll	paʸroʷl
payslip	paʸslip
pea	peʸ
peacekeep	peʸskeʸp
peacekeeper	peʸskeʸper
peacemake	peʸsmaʸk
peacemaker	peʸsmaʸker
peach	peʸc
peacock	peʸkok
peak	peʸk
peal	peʸl
peanut	pénut
pear	paʸr
pearl	perl
peasant	pezant
peat	peʸt
peatland	peʸtland
pebble	pebel
pec	pek
peck	pek
pectoral	pektoral
peculiarity	pekúliarité
pedagogy	pedagojé
pedal	pedal
peddle	pedal
pedestal	pedestal
pedestrian	pedestrian
pedigree	pedigré
pediment	pediment
pee	peʸ
peek	peʸk
peel	peʸl
peeler	peʸler
peeling	peʸliŋ
peep	peʸp
peer	peʸr
peerage	peʸraj
peg	peg
pelican	pelikan
